AAPL,BLND.L,RIO.L,SDRC.L
223.59,553.6,4288.5,2385.0
223.09,542.8,4332.0,2430.0
218.75,559.6,4410.22,2515.0
219.9,554.8,4332.5,2460.0
220.7,562.2,4263.0,2485.0
222.77,562.0,4263.5,2415.0
220.96,558.4,4249.5,2440.0
217.73,565.0,4233.0,2400.0
218.72,564.6,4245.0,2375.0
217.68,562.8,4138.0,2355.0
221.03,568.4,4176.5,2360.0
219.89,573.6,4165.5,2395.0
218.82,581.6,4249.5,2405.0
223.97,584.8,4209.0,2425.0
224.59,581.4,4201.5,2445.0
218.96,560.2,4006.0,2345.0
220.82,554.4,3992.5,2305.0
227.01,555.6,4035.5,2300.0
227.06,556.6,4054.5,2255.0
224.4,540.8,4026.5,2250.0
227.03,541.4,4018.5,2230.0
230.09,548.0,4104.0,2240.0
236.21,591.0,4209.5,2300.0
235.87,590.8,4115.0,2250.0
235.32,623.0,4019.0,2360.0
234.37,620.0,3952.0,2325.0
235.28,630.2,3961.5,2330.0
235.42,629.8,3973.5,2331.81
